date,user_id,product_name,quantity,unit_price,total_amount,region
2024-01-15,1,Laptop,2,999.99,1999.98,North America
2024-01-15,2,Monitor,3,299.99,899.97,Europe
2024-01-16,3,Keyboard,5,79.99,399.95,Asia Pacific
2024-01-16,1,Mouse,10,29.99,299.90,Latin America
2024-01-17,2,Desk Chair,1,199.99,199.99,North America
2024-01-17,3,Software License,2,499.99,999.98,Europe
2024-01-18,1,Cloud Storage,4,99.99,399.96,Asia Pacific
2024-01-18,2,Laptop,1,999.99,999.99,North America
2024-01-19,3,Monitor,2,299.99,599.98,Latin America
2024-01-19,1,Desk Lamp,6,49.99,299.94,Europe